                              Country         Region        Income
156                         Guatemala  NORTH AMERICA   4284.961149
157                             Haiti  NORTH AMERICA   1798.564736
158                          Honduras  NORTH AMERICA   3073.168641
159                           Jamaica  NORTH AMERICA   6524.135987
160                            Mexico  NORTH AMERICA   8628.257235
161                         Nicaragua  NORTH AMERICA   2560.223546
162                            Panama  NORTH AMERICA   5821.911408
163             Saint Kitts and Nevis  NORTH AMERICA   8512.809201
164                       Saint Lucia  NORTH AMERICA   6986.991725
165  Saint Vincent and the Grenadines  NORTH AMERICA   4339.235456
166               Trinidad and Tobago  NORTH AMERICA   7059.562264
167                     United States  NORTH AMERICA  32860.519690
168                         Australia        OCEANIA  22508.190780
169                              Fiji        OCEANIA   3000.081918
170                          Kiribati        OCEANIA   2618.341858
171                  Marshall Islands        OCEANIA   7242.246744
172                        Micronesia        OCEANIA      0.000000
173                             Nauru        OCEANIA  13831.376380
174                       New Zealand        OCEANIA  18874.652320
175                             Palau        OCEANIA  14937.848800
176                  Papua New Guinea        OCEANIA   1748.268178
177                             Samoa        OCEANIA   3569.520392
178                   Solomon Islands        OCEANIA   1797.146254
179                             Tonga        OCEANIA   3988.058263
180                            Tuvalu        OCEANIA   2889.195177
181                           Vanuatu        OCEANIA   3191.444424
182                         Argentina  SOUTH AMERICA   8845.591444
183                           Bolivia  SOUTH AMERICA   2800.943227
184                            Brazil  SOUTH AMERICA   7657.323839
185                             Chile  SOUTH AMERICA   5850.785603
186                          Colombia  SOUTH AMERICA   5046.812704
187                           Ecuador  SOUTH AMERICA   6992.249093
188                            Guyana  SOUTH AMERICA   2104.874624
189                          Paraguay  SOUTH AMERICA   4136.868251
190                              Peru  SOUTH AMERICA   5714.654778
191                          Suriname  SOUTH AMERICA   5930.970631
192                           Uruguay  SOUTH AMERICA   7407.361071
193                         Venezuela  SOUTH AMERICA  10350.520160
