                              Country         Region        Income
0                             Algeria         AFRICA   6419.127829
1                              Angola         AFRICA   5838.155376
2                               Benin         AFRICA   1464.138255
3                            Botswana         AFRICA  14045.940330
4                             Burkina         AFRICA      0.000000
5                             Burundi         AFRICA    484.090925
6                            Cameroon         AFRICA   2094.095413
7                          Cape Verde         AFRICA   3896.041139
8            Central African Republic         AFRICA      0.000000
9                                Chad         AFRICA   1768.882018
10                            Comoros         AFRICA   1027.408543
11                              Congo         AFRICA      0.000000
12      Congo, Democratic Republic of         AFRICA      0.000000
13                           Djibouti         AFRICA   2244.602414
14                              Egypt         AFRICA   6013.821463
15                  Equatorial Guinea         AFRICA  13499.211550
16                            Eritrea         AFRICA    613.716964
17                           Ethiopia         AFRICA    958.694706
18                              Gabon         AFRICA  13853.461660
19                             Gambia         AFRICA    747.680969
20                              Ghana         AFRICA   1728.478474
21                             Guinea         AFRICA    965.699260
22                      Guinea-Bissau         AFRICA    593.074251
23                        Ivory Coast         AFRICA      0.000000
24                              Kenya         AFRICA   1517.697544
25                            Lesotho         AFRICA   1970.471149
26                            Liberia         AFRICA    499.809082
27                              Libya         AFRICA   9136.344625
28                         Madagascar         AFRICA    981.478675
29                             Malawi         AFRICA    848.191014
30                               Mali         AFRICA   1070.551528
31                         Mauritania         AFRICA   1898.351921
32                          Mauritius         AFRICA  13082.775080
33                            Morocco         AFRICA   4514.519936
34                         Mozambique         AFRICA   1058.441929
35                            Namibia         AFRICA   5535.836742
36                              Niger         AFRICA    706.794248
37                            Nigeria         AFRICA   2483.989409
38                             Rwanda         AFRICA   1223.525709
39              Sao Tome and Principe         AFRICA   1927.702511
40                            Senegal         AFRICA   1753.488009
41                         Seychelles         AFRICA  17237.461170
42                       Sierra Leone         AFRICA   1072.957879
43                            Somalia         AFRICA    953.275714
44                       South Africa         AFRICA   9657.252754
45                        South Sudan         AFRICA   1433.037201
46                              Sudan         AFRICA   2917.616416
47                          Swaziland         AFRICA   4979.704127
48                           Tanzania         AFRICA   1330.056145
49                               Togo         AFRICA    975.396853
50                            Tunisia         AFRICA   7620.470565
51                             Uganda         AFRICA   1251.098070
52                             Zambia         AFRICA   1550.923859
53                           Zimbabwe         AFRICA    545.344601
54                        Afghanistan           ASIA   1349.696941
55                            Bahrain           ASIA  24472.896240
56                         Bangladesh           ASIA   1792.550235
57                             Bhutan           ASIA   6130.862355
58                             Brunei           ASIA  45658.253260
59                              Burma           ASIA      0.000000
60                           Cambodia           ASIA   2076.689586
61                              China           ASIA   8346.867309
62                         East Timor           ASIA      0.000000
63                              India           ASIA   3229.147887
64                          Indonesia           ASIA   4379.699819
65                               Iran           ASIA  12325.128030
66                               Iraq           ASIA   4160.847088
67                             Israel           ASIA  27321.205180
