                              Country         Region        Income
0                             Algeria         AFRICA   6173.729741
1                              Angola         AFRICA   5475.945894
2                               Benin         AFRICA   1443.648418
3                            Botswana         AFRICA  12463.484170
4                             Burkina         AFRICA      0.000000
5                             Burundi         AFRICA    462.176983
6                            Cameroon         AFRICA   2001.792784
7                          Cape Verde         AFRICA   3523.461589
8            Central African Republic         AFRICA      0.000000
9                                Chad         AFRICA   1596.656892
10                            Comoros         AFRICA   1023.113264
11                              Congo         AFRICA      0.000000
12      Congo, Democratic Republic of         AFRICA      0.000000
13                           Djibouti         AFRICA   2151.379829
14                              Egypt         AFRICA   5898.226086
15                  Equatorial Guinea         AFRICA  14122.773480
16                            Eritrea         AFRICA    566.132167
17                           Ethiopia         AFRICA    824.774481
18                              Gabon         AFRICA  11918.318020
19                             Gambia         AFRICA    765.667749
20                              Ghana         AFRICA   1410.658779
21                             Guinea         AFRICA    944.567300
22                      Guinea-Bissau         AFRICA    587.613043
23                        Ivory Coast         AFRICA      0.000000
24                              Kenya         AFRICA   1432.295520
25                            Lesotho         AFRICA   1699.349010
26                            Liberia         AFRICA    442.136500
27                              Libya         AFRICA  11483.261960
28                         Madagascar         AFRICA   1017.104711
29                             Malawi         AFRICA    815.464805
30                               Mali         AFRICA   1092.573336
31                         Mauritania         AFRICA   1756.628069
32                          Mauritius         AFRICA  11883.637950
33                            Morocco         AFRICA   4157.315000
34                         Mozambique         AFRICA    909.165916
35                            Namibia         AFRICA   4881.095202
36                              Niger         AFRICA    615.987033
37                            Nigeria         AFRICA   2186.149340
38                             Rwanda         AFRICA   1041.826852
39              Sao Tome and Principe         AFRICA   1787.370014
40                            Senegal         AFRICA   1714.164495
41                         Seychelles         AFRICA  15906.967210
42                       Sierra Leone         AFRICA    866.755092
43                            Somalia         AFRICA    945.839499
44                       South Africa         AFRICA   9139.389386
45                        South Sudan         AFRICA   2660.149140
46                              Sudan         AFRICA   2598.927235
47                          Swaziland         AFRICA   5124.722706
48                           Tanzania         AFRICA   1183.151678
49                               Togo         AFRICA    909.587493
50                            Tunisia         AFRICA   7509.853417
51                             Uganda         AFRICA   1192.859019
