                              Country         Region        Income
0                             Algeria         AFRICA   6300.648214
1                              Angola         AFRICA   5497.618103
2                               Benin         AFRICA   1438.986214
3                            Botswana         AFRICA  13181.342020
4                             Burkina         AFRICA      0.000000
5                             Burundi         AFRICA    468.432182
6                            Cameroon         AFRICA   2017.815915
7                          Cape Verde         AFRICA   3655.839336
8            Central African Republic         AFRICA      0.000000
9                                Chad         AFRICA   1759.973441
10                            Comoros         AFRICA   1022.624550
11                              Congo         AFRICA      0.000000
12      Congo, Democratic Republic of         AFRICA      0.000000
13                           Djibouti         AFRICA   2165.763841
14                              Egypt         AFRICA   6059.975994
15                  Equatorial Guinea         AFRICA  13383.763400
16                            Eritrea         AFRICA    561.050006
17                           Ethiopia         AFRICA    871.837116
18                              Gabon         AFRICA  12542.546030
19                             Gambia         AFRICA    793.618434
20                              Ghana         AFRICA   1485.657586
21                             Guinea         AFRICA    939.371879
22                      Guinea-Bissau         AFRICA    595.536860
23                        Ivory Coast         AFRICA      0.000000
24                              Kenya         AFRICA   1471.325641
25                            Lesotho         AFRICA   1801.349543
26                            Liberia         AFRICA    450.117363
27                              Libya         AFRICA  11842.386100
28                         Madagascar         AFRICA    995.218487
29                             Malawi         AFRICA    844.422690
30                               Mali         AFRICA   1121.551629
31                         Mauritania         AFRICA   1801.646396
32                          Mauritius         AFRICA  12317.235590
33                            Morocco         AFRICA   4263.175989
34                         Mozambique         AFRICA    954.487556
35                            Namibia         AFRICA   5159.794219
36                              Niger         AFRICA    661.177130
37                            Nigeria         AFRICA   2297.341367
38                             Rwanda         AFRICA   1094.057911
39              Sao Tome and Principe         AFRICA   1835.456105
40                            Senegal         AFRICA   1740.515097
41                         Seychelles         AFRICA  16341.864980
42                       Sierra Leone         AFRICA    889.581839
43                            Somalia         AFRICA    948.484363
44                       South Africa         AFRICA   9322.168814
45                        South Sudan         AFRICA   2709.001354
46                              Sudan         AFRICA   2597.127808
47                          Swaziland         AFRICA   5163.288425
48                           Tanzania         AFRICA   1229.299421
49                               Togo         AFRICA    925.390085
