                              Country         Region        Income
0                             Algeria         AFRICA   6354.640523
1                              Angola         AFRICA   5546.646572
2                               Benin         AFRICA   1448.858849
3                            Botswana         AFRICA  13689.427240
4                             Burkina         AFRICA      0.000000
5                             Burundi         AFRICA    476.628032
6                            Cameroon         AFRICA   2049.283863
7                          Cape Verde         AFRICA   3787.641640
8            Central African Republic         AFRICA      0.000000
9                                Chad         AFRICA   1726.137651
10                            Comoros         AFRICA   1023.898606
11                              Congo         AFRICA      0.000000
12      Congo, Democratic Republic of         AFRICA      0.000000
13                           Djibouti         AFRICA   2200.907658
14                              Egypt         AFRICA   6037.189236
15                  Equatorial Guinea         AFRICA  13603.338370
16                            Eritrea         AFRICA    591.224681
17                           Ethiopia         AFRICA    917.482561
18                              Gabon         AFRICA  13234.178980
19                             Gambia         AFRICA    739.129293
20                              Ghana         AFRICA   1657.074597
21                             Guinea         AFRICA    952.282620
22                      Guinea-Bissau         AFRICA    614.423947
23                        Ivory Coast         AFRICA      0.000000
24                              Kenya         AFRICA   1491.876630
25                            Lesotho         AFRICA   1899.504477
26                            Liberia         AFRICA    473.333986
27                              Libya         AFRICA   4550.150737
28                         Madagascar         AFRICA    987.705407
29                             Malawi         AFRICA    856.467654
30                               Mali         AFRICA   1117.234319
31                         Mauritania         AFRICA   1827.665527
32                          Mauritius         AFRICA  12733.015720
33                            Morocco         AFRICA   4429.000727
34                         Mozambique         AFRICA   1004.289088
35                            Namibia         AFRICA   5364.902226
36                              Niger         AFRICA    655.093642
37                            Nigeria         AFRICA   2400.314044
38                             Rwanda         AFRICA   1160.033646
39              Sao Tome and Principe         AFRICA   1890.427614
40                            Senegal         AFRICA   1739.372608
41                         Seychelles         AFRICA  16965.417540
42                       Sierra Leone         AFRICA    919.136374
43                            Somalia         AFRICA    949.761596
44                       South Africa         AFRICA   9530.264653
45                        South Sudan         AFRICA   3198.476871
46                              Sudan         AFRICA   3131.295087
47                          Swaziland         AFRICA   5115.891231
48                           Tanzania         AFRICA   1269.580370
49                               Togo         AFRICA    949.339721
50                            Tunisia         AFRICA   7427.129265
51                             Uganda         AFRICA   1260.032952
52                             Zambia         AFRICA   1480.686307
53                           Zimbabwe         AFRICA    526.332686
54                        Afghanistan           ASIA   1261.354184
55                            Bahrain           ASIA  24036.725170
56                         Bangladesh           ASIA   1708.302009
57                             Bhutan           ASIA   5627.009609
58                             Brunei           ASIA  45764.668170
59                              Burma           ASIA      0.000000
60                           Cambodia           ASIA   1970.344832
61                              China           ASIA   7781.365736
62                         East Timor           ASIA      0.000000
63                              India           ASIA   3147.192210
64                          Indonesia           ASIA   4181.780800
65                               Iran           ASIA  12722.300230
66                               Iraq           ASIA   3959.369416
67                             Israel           ASIA  27081.784850
68                              Japan           ASIA  30593.474790
69                             Jordan           ASIA   5216.837705
70                         Kazakhstan           ASIA  11635.569730
71                       Korea, North           ASIA      0.000000
72                       Korea, South           ASIA      0.000000
73                             Kuwait           ASIA  41127.115970
74                         Kyrgyzstan           ASIA   2118.052813
75                               Laos           ASIA   2628.014227
76                            Lebanon           ASIA  13684.957010
77                           Malaysia           ASIA  13676.030480
78                           Maldives           ASIA   5940.171544
79                           Mongolia           ASIA   3887.176880
80                              Nepal           ASIA   1229.098457
81                               Oman           ASIA  25829.157190
82                           Pakistan           ASIA   2639.178974
83                        Philippines           ASIA   3508.335945
84                              Qatar           ASIA  89280.870160
85                 Russian Federation           ASIA      0.000000
86                       Saudi Arabia           ASIA  25127.135550
87                          Singapore           ASIA  49587.164720
88                          Sri Lanka           ASIA   4903.730474
89                              Syria           ASIA   4520.000000
90                         Tajikistan           ASIA   1854.059295
91                           Thailand           ASIA   7977.540565
92                             Turkey           ASIA   9164.683086
93                       Turkmenistan           ASIA   7252.657762
94               United Arab Emirates           ASIA  31700.393550
95                         Uzbekistan           ASIA   2921.074219
96                            Vietnam           ASIA   2961.834605
97                              Yemen           ASIA      0.000000
98                            Albania         EUROPE   6914.267317
99                            Andorra         EUROPE  31630.742840
100                           Armenia         EUROPE   4767.394284
101                           Austria         EUROPE  36637.254650
102                        Azerbaijan         EUROPE   9218.057194
103                           Belarus         EUROPE  13248.852430
104                           Belgium         EUROPE  32929.850370
